RG_68,RG_69,RG_71,RG_35,RG_66,RG_23,RG_04,RG_25,RG_58,RG_38,RG_19,RG_70,RG_45,RG_17,RG_62
133.0,125.0,77.0,93.0,43.0,60.0,42.0,35.0,24.0,54.0,33.0,39.0,32.0,4.0,25.0
111.0,73.0,54.0,68.0,28.0,42.0,31.0,25.0,21.0,19.0,52.0,48.0,15.0,12.0,26.0
122.0,77.0,79.0,24.0,26.0,42.0,47.0,22.0,25.0,29.0,15.0,28.0,18.0,8.0,16.0
105.0,71.0,76.0,57.0,68.0,45.0,27.0,18.0,29.0,31.0,41.0,36.0,12.0,65.0,44.0
92.0,72.0,55.0,44.0,17.0,25.0,33.0,16.0,19.0,15.0,19.0,14.0,6.0,23.0,14.0
98.0,59.0,61.0,27.0,20.0,28.0,19.0,6.0,32.0,29.0,7.0,26.0,6.0,11.0,16.0
89.0,91.0,69.0,33.0,33.0,28.0,32.0,35.0,36.0,15.0,12.0,17.0,11.0,19.0,6.0
160.0,155.0,78.0,41.0,68.0,66.0,46.0,41.0,50.0,42.0,33.0,63.0,37.0,9.0,33.0
136.0,88.0,75.0,72.0,46.0,37.0,52.0,48.0,30.0,31.0,33.0,32.0,24.0,12.0,22.0
109.0,76.0,56.0,27.0,35.0,25.0,34.0,32.0,14.0,20.0,22.0,26.0,10.0,4.0,16.0
133.0,127.0,202.0,62.0,32.0,54.0,58.0,37.0,59.0,35.0,33.0,19.0,25.0,9.0,24.0
109.0,91.0,111.0,77.0,30.0,49.0,38.0,77.0,23.0,48.0,19.0,13.0,21.0,12.0,9.0
105.0,78.0,51.0,53.0,35.0,24.0,46.0,41.0,32.0,32.0,14.0,27.0,16.0,16.0,23.0
65.0,61.0,50.0,52.0,32.0,19.0,20.0,19.0,24.0,13.0,26.0,32.0,12.0,20.0,22.0
67.0,33.0,33.0,21.0,24.0,22.0,30.0,23.0,29.0,13.0,18.0,27.0,11.0,11.0,13.0
104.0,90.0,60.0,39.0,42.0,27.0,39.0,22.0,16.0,21.0,26.0,36.0,6.0,17.0,15.0
86.0,101.0,70.0,74.0,39.0,17.0,34.0,36.0,32.0,31.0,17.0,40.0,16.0,14.0,23.0
76.0,81.0,46.0,47.0,30.0,15.0,29.0,29.0,12.0,18.0,20.0,27.0,17.0,25.0,15.0
74.0,82.0,43.0,56.0,17.0,35.0,39.0,34.0,5.0,17.0,9.0,17.0,17.0,12.0,22.0
49.0,66.0,41.0,37.0,25.0,14.0,19.0,20.0,14.0,13.0,23.0,23.0,14.0,4.0,9.0
32.0,37.0,10.0,18.0,6.0,7.0,10.0,15.0,9.0,8.0,13.0,5.0,6.0,4.0,10.0
58.0,46.0,20.0,28.0,15.0,23.0,20.0,20.0,15.0,6.0,8.0,8.0,6.0,7.0,3.0
52.0,17.0,27.0,18.0,5.0,34.0,16.0,15.0,13.0,11.0,9.0,20.0,6.0,0.0,14.0
49.0,20.0,11.0,17.0,22.0,18.0,22.0,27.0,8.0,7.0,7.0,21.0,6.0,6.0,2.0
73.0,47.0,25.0,48.0,45.0,38.0,34.0,26.0,12.0,9.0,12.0,21.0,20.0,15.0,9.0
73.0,55.0,28.0,37.0,27.0,26.0,32.0,21.0,12.0,6.0,19.0,16.0,16.0,11.0,12.0
41.0,36.0,7.0,16.0,5.0,18.0,9.0,16.0,2.0,5.0,5.0,8.0,5.0,6.0,5.0
28.0,32.0,31.0,22.0,8.0,16.0,10.0,12.0,6.0,4.0,4.0,4.0,3.0,12.0,8.0
