trap_0,trap_1,trap_2
1.303675257619435701e+00,1.748529071398650103e+00,7.881099192529124053e-01
1.567022123305670478e+00,1.926558690400456353e+00,1.154992833837435784e+00
1.538446787142573990e+00,1.119884351499694120e+00,1.296749943590092213e+00
1.163657717561227267e+00,1.666449423602430313e+00,2.150857836639211484e+00
1.936329932045703917e+00,1.462732443526712389e+00,1.184967953066404345e+00
1.901977118440359327e+00,1.760993765672936195e+00,1.936853823293034349e+00
1.702036687632709544e+00,1.483431564473425945e+00,2.145759641517483995e+00
2.122846179430006863e+00,2.508654402545286821e+00,2.061828417383061218e+00
2.132355584749479060e+00,1.732230012568855892e+00,2.377526249199672925e+00
2.173695774649867740e+00,1.996630881153961701e+00,1.784634719515283185e+00
2.143542915080153932e+00,2.285461122018571434e+00,1.450938661991758138e+00
2.334955713409786249e+00,1.976673613901213544e+00,2.400987184117131523e+00
1.971772647997553918e+00,2.120915145178363215e+00,1.833960424696726932e+00
2.151127015602084303e+00,2.030908046071910888e+00,2.102080037036219817e+00
2.048073080294060766e+00,2.152670647647165758e+00,1.839055074870620698e+00
2.350595681216440358e+00,1.819779026895961493e+00,2.486644374510911248e+00
2.146932874929912582e+00,2.003619820004724605e+00,2.394561313145640913e+00
1.997719000363683328e+00,2.023388148239536832e+00,1.869436927081111754e+00
1.788411327186603783e+00,1.922866064752415838e+00,2.294031419276554296e+00
1.871353075985439984e+00,1.965517734639239844e+00,1.984893925967016193e+00
1.865565312396298303e+00,1.775191992433778676e+00,1.821306009072870991e+00
1.685383875141344800e+00,1.994028169262969996e+00,1.785289745343865642e+00
2.052942316363230990e+00,1.567764394308019948e+00,1.603898364088782058e+00
1.856622181634274060e+00,1.513610008153770448e+00,1.739106466185826205e+00
6.259669205977670403e-01,1.239881263488801899e+00,1.532419935420482160e+00
7.538327064650213183e-01,1.162582228220752079e+00,1.215696536325176380e+00
1.147568372383451107e+00,8.206521627540860342e-01,1.501876723744667075e+00
9.528061962717709887e-01,1.235098796008066158e+00,8.960206353155292236e-01
1.024777234962025885e+00,6.179289304166948327e-01,1.046764428632678268e+00
9.105916922642334210e-01,6.216381935009669402e-01,9.720417243331588297e-01
1.370628454471546132e+00,8.430502235595931371e-01,1.178918945907190929e+00
2.983290244611599973e-01,7.527072630522040342e-01,4.803028442641539275e-01
4.235958396211055854e-01,4.168429164576836765e-01,1.059802075652326980e+00
1.064320734076598107e+00,0.000000000000000000e+00,5.043387373156262843e-01
5.710270329668976075e-01,5.031701202950161766e-01,3.188230609105716651e-01
5.134629860596688911e-01,3.924130120144082579e-01,1.128021490652071357e-01
1.107818458083463797e-01,0.000000000000000000e+00,4.408717830309449859e-01
0.000000000000000000e+00,4.601548074122967513e-01,2.437387559066624132e-01
2.575305491687683301e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.327042263464642047e-01,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,2.360103391912230231e-01,4.063536356178581999e-02
2.409018403977916667e-02,1.755170531541833112e-01,2.625638141259745151e-02
2.433706533964168917e-01,3.257709576119293682e-01,5.920744748327479989e-01
3.111848742855660710e-02,0.000000000000000000e+00,7.272054637378433384e-01
