DATE,SJU-3-01,SJU-3-02,SJU-3-03,SJU-3-04,SJU-3-05,SJU-3-06,SJU-3-07,SJU-3-08,SJU-3-09,SJU-3-10,SJU-3-11,SJU-3-12
2018-02-27,3.0,0.0,2.0,3.0,3.0,1.0,0.0,4.0,0.0,2.0,2.0,5.0
2018-03-13,10.0,4.0,1.0,6.0,8.0,1.0,0.0,5.0,1.0,7.0,17.0,7.0
2018-03-20,7.0,6.0,0.0,6.0,3.0,0.0,6.0,0.0,2.0,0.0,12.0,8.0
2018-03-27,23.0,5.0,2.0,10.0,3.0,1.0,2.0,0.0,6.0,3.0,6.0,6.0
2018-04-03,14.0,5.0,9.0,12.0,4.0,5.0,1.0,2.0,7.0,4.0,25.0,9.0
2018-04-10,16.0,4.0,7.0,17.0,7.0,2.0,5.0,13.0,16.0,11.0,20.0,2.0
2018-04-17,15.0,5.0,7.0,21.0,6.0,5.0,4.0,5.0,4.0,30.0,15.0,7.0
2018-04-24,3.0,2.0,8.0,10.0,6.0,1.0,1.0,2.0,9.0,17.0,9.0,9.0
2018-04-30,31.0,4.0,0.0,23.0,13.0,0.0,2.0,2.0,11.0,3.0,23.0,18.0
2018-05-08,32.0,7.0,24.0,33.0,47.0,4.0,3.0,10.0,20.0,18.0,49.0,18.0
2018-05-15,16.0,9.0,4.0,21.0,24.0,2.0,1.0,11.0,11.0,3.0,16.0,13.0
2018-06-12,28.0,6.0,13.0,12.0,21.0,9.0,4.0,4.0,14.0,24.0,32.0,17.0
2018-06-19,21.0,7.0,11.0,10.0,17.0,0.0,4.0,8.0,7.0,11.0,14.0,18.0
2018-06-26,12.0,1.0,4.0,8.0,16.0,4.0,3.0,5.0,4.0,4.0,21.0,10.0
2018-07-03,11.0,1.0,5.0,12.0,11.0,2.0,4.0,4.0,7.0,8.0,23.0,10.0
2018-07-17,8.0,2.0,2.0,9.0,7.0,1.0,0.0,4.0,6.0,5.0,10.0,8.0
2018-07-31,7.0,2.0,5.0,9.0,7.0,6.0,6.0,1.0,9.0,6.0,11.0,2.0
2018-08-14,11.0,6.0,13.0,11.0,17.0,4.0,6.0,8.0,27.0,6.0,22.0,16.0
2018-08-21,4.0,4.0,3.0,10.0,11.0,6.0,3.0,9.0,12.0,6.0,11.0,12.0
2018-08-28,8.0,4.0,6.0,16.0,6.0,10.0,0.0,5.0,8.0,9.0,15.0,10.0
2018-09-04,2.0,2.0,4.0,14.0,9.0,5.0,1.0,8.0,3.0,13.0,5.0,10.0
2018-09-11,11.0,7.0,5.0,9.0,9.0,11.0,7.0,19.0,8.0,16.0,19.0,11.0
2018-09-18,12.0,8.0,7.0,10.0,14.0,7.0,4.0,11.0,11.0,14.0,16.0,15.0
2018-09-25,2.0,12.0,0.0,9.0,15.0,14.0,1.0,11.0,12.0,13.0,14.0,9.0
2018-10-02,2.0,2.0,0.0,6.0,3.0,6.0,0.0,4.0,5.0,18.0,15.0,5.0
2018-10-09,3.0,3.0,15.0,6.0,4.0,3.0,5.0,3.0,5.0,16.0,14.0,5.0
2018-10-16,2.0,2.0,0.0,6.0,6.0,1.0,2.0,6.0,5.0,11.0,14.0,3.0
2018-10-23,3.0,3.0,4.0,4.0,7.0,2.0,2.0,4.0,4.0,13.0,7.0,9.0
2018-10-30,4.0,3.0,8.0,20.0,12.0,6.0,8.0,8.0,10.0,30.0,15.0,16.0
2018-11-06,19.0,1.0,1.0,14.0,7.0,9.0,10.0,4.0,9.0,16.0,5.0,16.0
