season,year,weekofyear,epiweek,total_cases,rate_overall,location
2009-10,2009,40,200940,2.8,2.8,network_all
2009-10,2009,41,200941,3.8,3.8,network_all
2009-10,2009,42,200942,4.0,4.0,network_all
2009-10,2009,43,200943,3.5,3.5,network_all
2009-10,2009,44,200944,2.7,2.7,network_all
2009-10,2009,45,200945,1.8,1.8,network_all
2009-10,2009,46,200946,1.3,1.3,network_all
2009-10,2009,47,200947,0.8,0.8,network_all
2009-10,2009,48,200948,0.5,0.5,network_all
2009-10,2009,49,200949,0.4,0.4,network_all
2009-10,2009,50,200950,0.3,0.3,network_all
2009-10,2009,51,200951,0.3,0.3,network_all
2009-10,2009,52,200952,0.3,0.3,network_all
2009-10,2010,1,201001,0.2,0.2,network_all
2009-10,2010,2,201002,0.2,0.2,network_all
2009-10,2010,3,201003,0.2,0.2,network_all
2009-10,2010,4,201004,0.2,0.2,network_all
2009-10,2010,5,201005,0.2,0.2,network_all
2009-10,2010,6,201006,0.2,0.2,network_all
2009-10,2010,7,201007,0.2,0.2,network_all
2009-10,2010,8,201008,0.2,0.2,network_all
2009-10,2010,9,201009,0.2,0.2,network_all
2009-10,2010,10,201010,0.2,0.2,network_all
2009-10,2010,11,201011,0.1,0.1,network_all
2009-10,2010,12,201012,0.1,0.1,network_all
2009-10,2010,13,201013,0.1,0.1,network_all
2009-10,2010,14,201014,0.1,0.1,network_all
2009-10,2010,15,201015,0.1,0.1,network_all
2009-10,2010,16,201016,0.0,0.0,network_all
2009-10,2010,17,201017,0.0,0.0,network_all
2010-11,2010,40,201040,0.0,0.0,network_all
2010-11,2010,41,201041,0.1,0.1,network_all
2010-11,2010,42,201042,0.1,0.1,network_all
2010-11,2010,43,201043,0.1,0.1,network_all
2010-11,2010,44,201044,0.1,0.1,network_all
2010-11,2010,45,201045,0.1,0.1,network_all
2010-11,2010,46,201046,0.1,0.1,network_all
2010-11,2010,47,201047,0.1,0.1,network_all
2010-11,2010,48,201048,0.2,0.2,network_all
2010-11,2010,49,201049,0.3,0.3,network_all
2010-11,2010,50,201050,0.4,0.4,network_all
2010-11,2010,51,201051,0.6,0.6,network_all
2010-11,2010,52,201052,0.8,0.8,network_all
2010-11,2011,1,201101,0.9,0.9,network_all
2010-11,2011,2,201102,1.0,1.0,network_all
2010-11,2011,3,201103,1.2,1.2,network_all
2010-11,2011,4,201104,1.5,1.5,network_all
2010-11,2011,5,201105,1.8,1.8,network_all
2010-11,2011,6,201106,1.6,1.6,network_all
2010-11,2011,7,201107,2.0,2.0,network_all
2010-11,2011,8,201108,2.1,2.1,network_all
2010-11,2011,9,201109,1.8,1.8,network_all
2010-11,2011,10,201110,1.4,1.4,network_all
2010-11,2011,11,201111,1.2,1.2,network_all
2010-11,2011,12,201112,0.7,0.7,network_all
2010-11,2011,13,201113,0.5,0.5,network_all
2010-11,2011,14,201114,0.4,0.4,network_all
2010-11,2011,15,201115,0.3,0.3,network_all
2010-11,2011,16,201116,0.2,0.2,network_all
2010-11,2011,17,201117,0.1,0.1,network_all
2011-12,2011,40,201140,0.0,0.0,network_all
2011-12,2011,41,201141,0.0,0.0,network_all
2011-12,2011,42,201142,0.0,0.0,network_all
2011-12,2011,43,201143,0.0,0.0,network_all
2011-12,2011,44,201144,0.0,0.0,network_all
2011-12,2011,45,201145,0.0,0.0,network_all
2011-12,2011,46,201146,0.0,0.0,network_all
2011-12,2011,47,201147,0.0,0.0,network_all
