hhs1,hhs2,hhs3,hhs4,hhs5,hhs6,hhs7,hhs8,hhs9,hhs10
7.476019999999999888e-01,1.744990000000000041e+00,1.118100000000000094e+00,1.173859999999999904e+00,1.002590000000000092e+00,1.765260000000000051e+00,6.004040000000000488e-01,7.740989999999999815e-01,1.264899999999999913e+00,4.391189999999999816e-01
6.612320000000000420e-01,1.885240000000000027e+00,1.088829999999999965e+00,1.231740000000000057e+00,9.779349999999999987e-01,1.820389999999999953e+00,6.948330000000000339e-01,9.112850000000000117e-01,1.271160000000000068e+00,4.279740000000000211e-01
7.283880000000000354e-01,1.930080000000000018e+00,1.176360000000000072e+00,1.276799999999999935e+00,1.041099999999999914e+00,1.656970000000000054e+00,7.790700000000000403e-01,9.320840000000000236e-01,1.382530000000000037e+00,4.895749999999999824e-01
7.299909999999999455e-01,2.050510000000000055e+00,1.223430000000000017e+00,1.380319999999999991e+00,1.106030000000000069e+00,2.006969999999999921e+00,6.925029999999999797e-01,8.316810000000000036e-01,1.440649999999999986e+00,5.299920000000000186e-01
9.301920000000000188e-01,2.240899999999999892e+00,1.359180000000000055e+00,1.643610000000000015e+00,1.266440000000000010e+00,1.962609999999999966e+00,8.422969999999999624e-01,5.064990000000000325e-01,1.522820000000000062e+00,5.737510000000000110e-01
8.750430000000000152e-01,2.464290000000000092e+00,1.422549999999999981e+00,1.678469999999999906e+00,1.237300000000000066e+00,2.059829999999999828e+00,9.152890000000000192e-01,7.465850000000000541e-01,1.618949999999999889e+00,7.370879999999999654e-01
9.051970000000000294e-01,2.530780000000000030e+00,1.443119999999999958e+00,1.905799999999999939e+00,1.214169999999999972e+00,2.255770000000000053e+00,9.691419999999999479e-01,9.033729999999999816e-01,1.670600000000000085e+00,6.437049999999999716e-01
9.758270000000000000e-01,3.258459999999999912e+00,1.745610000000000106e+00,2.190479999999999983e+00,1.269919999999999938e+00,2.462279999999999802e+00,1.429119999999999946e+00,7.899000000000000465e-01,1.981899999999999995e+00,7.894849999999999923e-01
8.726209999999999800e-01,3.188839999999999897e+00,1.486299999999999955e+00,1.926819999999999977e+00,1.246559999999999890e+00,2.402769999999999850e+00,1.388209999999999944e+00,1.264459999999999917e+00,1.879399999999999959e+00,7.750449999999999839e-01
9.403369999999999784e-01,3.262880000000000003e+00,1.624659999999999993e+00,1.822040000000000104e+00,1.486930000000000085e+00,2.821089999999999876e+00,1.268350000000000088e+00,1.145289999999999919e+00,2.034159999999999968e+00,6.931410000000000071e-01
1.048720000000000097e+00,3.403030000000000221e+00,1.919669999999999987e+00,2.276909999999999989e+00,1.553940000000000099e+00,3.295080000000000009e+00,1.267759999999999998e+00,1.297709999999999919e+00,2.313719999999999999e+00,1.503249999999999975e+00
1.169820000000000082e+00,4.543730000000000047e+00,2.223790000000000155e+00,2.934909999999999908e+00,1.844160000000000021e+00,3.756229999999999958e+00,1.757679999999999909e+00,2.083400000000000141e+00,2.758179999999999854e+00,2.058310000000000084e+00
1.418609999999999927e+00,6.044789999999999885e+00,3.051149999999999807e+00,3.372819999999999929e+00,2.369530000000000136e+00,4.159130000000000216e+00,2.693740000000000023e+00,1.454970000000000097e+00,3.304840000000000000e+00,3.670609999999999928e+00
1.576440000000000063e+00,5.343759999999999621e+00,2.703260000000000218e+00,2.911789999999999878e+00,2.104159999999999808e+00,4.038859999999999673e+00,2.906670000000000087e+00,2.259320000000000217e+00,3.074120000000000186e+00,3.023130000000000095e+00
1.524110000000000076e+00,5.070859999999999701e+00,2.813660000000000050e+00,2.893949999999999800e+00,2.117570000000000174e+00,4.801849999999999952e+00,2.755809999999999871e+00,1.908509999999999929e+00,2.837779999999999969e+00,2.151969999999999938e+00
1.739870000000000028e+00,5.681659999999999933e+00,3.099680000000000213e+00,3.685639999999999805e+00,2.443200000000000038e+00,5.269549999999999734e+00,3.465279999999999916e+00,2.266799999999999926e+00,2.680709999999999926e+00,3.251079999999999970e+00
2.065240000000000187e+00,6.010530000000000150e+00,3.452319999999999833e+00,3.691879999999999828e+00,2.762950000000000017e+00,6.104269999999999641e+00,4.569910000000000139e+00,2.071039999999999992e+00,2.957699999999999996e+00,2.514339999999999797e+00
2.513749999999999929e+00,6.498289999999999900e+00,3.733389999999999986e+00,4.531690000000000218e+00,3.181999999999999940e+00,8.132210000000000605e+00,5.526530000000000165e+00,2.276320000000000121e+00,3.039870000000000072e+00,2.286340000000000039e+00
3.192210000000000214e+00,6.937590000000000146e+00,5.140240000000000364e+00,5.117779999999999774e+00,3.917600000000000193e+00,9.875890000000000057e+00,6.359479999999999578e+00,2.291339999999999932e+00,2.640820000000000167e+00,2.004469999999999974e+00
3.025220000000000020e+00,5.723270000000000302e+00,5.200029999999999930e+00,5.510699999999999932e+00,4.317870000000000097e+00,8.799170000000000158e+00,4.918919999999999959e+00,2.727030000000000065e+00,2.458050000000000068e+00,1.777279999999999971e+00
3.047460000000000058e+00,4.743940000000000268e+00,5.046429999999999971e+00,5.480459999999999887e+00,4.261389999999999567e+00,8.341120000000000090e+00,4.043230000000000324e+00,1.626749999999999918e+00,2.395620000000000083e+00,1.517370000000000108e+00
2.246939999999999937e+00,3.148680000000000145e+00,3.223440000000000083e+00,4.527090000000000281e+00,3.044849999999999834e+00,6.901239999999999597e+00,2.827729999999999855e+00,1.457999999999999963e+00,2.212479999999999780e+00,1.461989999999999901e+00
2.125859999999999861e+00,3.077789999999999804e+00,3.164410000000000167e+00,4.535980000000000345e+00,3.317429999999999879e+00,6.466660000000000075e+00,2.766640000000000210e+00,1.441000000000000059e+00,2.221639999999999837e+00,9.520979999999999999e-01
