v0,v1,v2,v3
1.727920960323930250e-02,-4.312598935397814193e-02,4.723882969580059377e-02,-1.344198007186439559e-02
1.616175874303809601e-01,-8.954740193989139951e-02,1.489881210842641523e-01,-4.631111722978906164e-02
2.558375180967271123e-01,-3.273321038936966021e-01,1.595874365313760535e-01,-2.543504255758473054e-01
2.894470254623175975e-01,-4.061480938443122746e-01,4.316006974378991390e-01,-3.178429579492885182e-01
5.099909653774243878e-01,-4.627470275170992853e-01,5.793430650525314141e-01,-4.985770092816916299e-01
5.903834753493564236e-01,-6.361177166464091481e-01,5.296358788738204648e-01,-6.144888986864767144e-01
6.362749964727809626e-01,-6.617229450283367287e-01,6.659052990716303189e-01,-7.398765769423967242e-01
7.775666533809186820e-01,-7.512539040720243033e-01,8.183818773264783797e-01,-6.983953250284221648e-01
8.412124857029601444e-01,-7.780468764507479928e-01,7.489218544222961960e-01,-8.278328524227078766e-01
9.001626504859860933e-01,-9.311955432438743241e-01,7.859630096997223259e-01,-8.063401122642643859e-01
9.364373547512047091e-01,-9.663115688674969173e-01,8.701690365754186640e-01,-9.960071681955052769e-01
9.982774667566743920e-01,-9.542827331910019861e-01,9.425884781082486397e-01,-9.841964374711765773e-01
9.558861697479705821e-01,-1.115587053608344315e+00,9.637867634988095400e-01,-9.908995346953215488e-01
9.918545026003473541e-01,-8.449978850542707587e-01,1.030367358692129809e+00,-9.315914150699308172e-01
9.686029084640550568e-01,-1.027641410621142448e+00,1.006135692696207062e+00,-9.038621415350328592e-01
1.000884128057783595e+00,-1.007433570062330030e+00,9.086379541925989622e-01,-1.005671485303547996e+00
9.370023480594977805e-01,-8.919598671402292345e-01,9.633852411898574664e-01,-9.940304382778942793e-01
8.708331881049554690e-01,-8.874476177249941422e-01,9.791600927372701157e-01,-9.746482995629808244e-01
7.838884427758143758e-01,-9.119552968288360262e-01,8.828365798471706771e-01,-7.585477074574308309e-01
7.356511361401577576e-01,-7.171643791664706891e-01,7.980661205552784798e-01,-7.553104597154418620e-01
6.635297672667124225e-01,-6.203537665408347390e-01,6.641315546668636882e-01,-6.979965039409805616e-01
5.542846014661872989e-01,-5.905620604049528488e-01,6.172463164633833488e-01,-5.731367470629402661e-01
5.294263627636793812e-01,-4.788031899583702899e-01,4.164165310452902502e-01,-5.951685956742291950e-01
4.049411028078255814e-01,-3.303056571795662255e-01,3.921556188926884623e-01,-4.434365383267449556e-01
1.037575403392592410e-01,-2.847546767832801473e-01,2.349532433135003429e-01,-1.951255499439221996e-01
2.608601795693943348e-02,-9.861725204497764907e-02,1.770819651492955837e-01,-1.033350525627250160e-01
-8.738604602758418341e-03,9.964925522225222612e-03,2.330052756289301488e-02,4.903974654616542576e-03
-1.416462008341405066e-01,8.679004946652692232e-02,-1.750306695409404312e-01,6.785233473410601235e-02
-2.286335144126268870e-01,1.697105705969652045e-01,-2.329160166138819210e-01,2.660829167311639654e-01
