v0,v1,v2,v3
1.302045956069258992e+00,1.281608709778756516e+00,1.133407374638518039e+00,1.186444587943603413e+00
1.192753428689613759e+00,1.334038002614265528e+00,1.312871316443669611e+00,1.284938159124273005e+00
1.460220606623846784e+00,1.449073782335712490e+00,1.511447223885685309e+00,1.402909890478273525e+00
1.526216406736139009e+00,1.540851813644521728e+00,1.577700969363401207e+00,1.539063968153390416e+00
1.642090707438246255e+00,1.584311057793204469e+00,1.628497093392509809e+00,1.702353699581822477e+00
1.757284888576667647e+00,1.806051693324560059e+00,1.839539494742916004e+00,1.727323965443757769e+00
1.762123351783432490e+00,1.775299635859496128e+00,1.934548165715697321e+00,1.921085552995859924e+00
1.936914129288891617e+00,1.981144569990292537e+00,1.997549556732066245e+00,1.963033321447726465e+00
1.979723212079909311e+00,2.022267849106958781e+00,2.062424709307064230e+00,2.011678319861390563e+00
2.251606001485454200e+00,2.141795098193731928e+00,2.143238614656413077e+00,2.018873476763898278e+00
2.146305573346810824e+00,2.131627729659891557e+00,2.162179195002697618e+00,2.147262901909669619e+00
2.153310277708972542e+00,2.129781809528168868e+00,2.209691858302259337e+00,2.205515283530673720e+00
2.178644503190486414e+00,2.210604387435683549e+00,2.153707607308990468e+00,2.104420584761738322e+00
2.166597682694552773e+00,2.171988193214593910e+00,2.274977890532588809e+00,2.259597978564282794e+00
2.139951346537797949e+00,2.183661032864963492e+00,2.204267883599428046e+00,2.275096224842718229e+00
2.151401768564319639e+00,2.173035356769152049e+00,2.272152407814220343e+00,2.187866932271548492e+00
2.159113512110753863e+00,2.128288757098131256e+00,2.032903844004332772e+00,2.159605287603706181e+00
2.073528345324541444e+00,2.076015911904518951e+00,2.120726469059828645e+00,2.206140775482614114e+00
2.070871801041644478e+00,1.981361616479303756e+00,2.072056942916323585e+00,2.084578399886216182e+00
1.938520641717772275e+00,1.939054058966460659e+00,1.931364117623528331e+00,1.903622888224434817e+00
1.864335636494628412e+00,1.756205627884744214e+00,1.885744873614558559e+00,1.862290398933424074e+00
1.845355789291796444e+00,1.760198141969894436e+00,1.805481066647792954e+00,1.760218193350294502e+00
1.691978448178151240e+00,1.604820372747172819e+00,1.693592247658513905e+00,1.657179332239011593e+00
1.529343450261834825e+00,1.610618071559886788e+00,1.527621924238308226e+00,1.436391496154477920e+00
1.430173715557670810e+00,1.502812001653620166e+00,1.432218772789779271e+00,1.477165906315694777e+00
1.347562936843063275e+00,1.222985391229260310e+00,1.371488653594357121e+00,1.288699874402169376e+00
1.296754401704942383e+00,1.207245839518294117e+00,1.263866004210952854e+00,1.208182573223885337e+00
1.065982303377581264e+00,1.073145123636339182e+00,1.084412161925078610e+00,1.072656352557577186e+00
9.485064017584872165e-01,9.083485542083991060e-01,9.645359596644427214e-01,1.004239104563343643e+00
8.955107930212489187e-01,8.719777700899143946e-01,8.554199306448214690e-01,8.306046784435825447e-01
6.909538307982024952e-01,7.121923507234945161e-01,7.871600884483258564e-01,6.955054249167225144e-01
6.173492416468511212e-01,5.435552984845141156e-01,5.792333298716602075e-01,6.585563772718068254e-01
5.810042901320291442e-01,5.235435091563566123e-01,4.704240500617603016e-01,6.071216260012157750e-01
4.805067526384438348e-01,4.440765959138941454e-01,4.577050001383337618e-01,4.354987176595618292e-01
3.815919692704612398e-01,3.823376850184173059e-01,3.216896957061679552e-01,4.455135354976552109e-01
3.480491920882143320e-01,2.529823244101521151e-01,2.851885006135359002e-01,3.276531318471285203e-01
1.235756419723970934e-01,2.957678036606646854e-01,2.692985442295169896e-01,2.383472830505312112e-01
2.801235234489519721e-01,2.658310369838925435e-01,2.531834290947269084e-01,3.053160725918556695e-01
1.593088879115389100e-01,1.499997620592004588e-01,1.536865341279324837e-01,1.663598091242698696e-01
1.165690078672014796e-01,1.670572215508411285e-01,2.400802723377600534e-01,2.507024099557358943e-01
2.211134138779959624e-01,2.032742602104781471e-01,1.186053947921891505e-01,1.823818275625286867e-01
2.640854268414173367e-01,2.007619162233295063e-01,2.563289850377369339e-01,2.515691148560573742e-01
2.427453845304459179e-01,3.521714878070694166e-01,1.860971697566106697e-01,2.032763420507114338e-01
2.607236823417494187e-01,3.249625801547021409e-01,2.507978047372157460e-01,2.726643432840812897e-01
3.783223757830446177e-01,3.264870322886329612e-01,4.091272305852111657e-01,4.302687491413261789e-01
4.488518864167548861e-01,4.120838054476597678e-01,4.311711406521672174e-01,4.608950944246286152e-01
6.071572500601088995e-01,5.340038288464182825e-01,4.970994268716863451e-01,5.387919925825208622e-01
6.693056526428116104e-01,7.467241936817744508e-01,6.096964153043574752e-01,6.099448411671229975e-01
7.449676102694625657e-01,7.263636118650782514e-01,7.585284576640002330e-01,7.576008616426228581e-01
9.009767732186635403e-01,8.517689339194542963e-01,8.426927731509455954e-01,7.755316490775738814e-01
9.504081832171524802e-01,9.863866046203508819e-01,9.592151969395299460e-01,9.046875734961234983e-01
1.033168341062257856e+00,1.077457022931524344e+00,1.132202139760014603e+00,1.071573801478189703e+00
1.229202915551262931e+00,1.314033043628336062e+00,1.164180470388834765e+00,1.158285948441072355e+00
1.349663601188107576e+00,1.293960432904065039e+00,1.296939996326548883e+00,1.285506991840045021e+00
1.428574218731214485e+00,1.476525820544846601e+00,1.413194165345491582e+00,1.435740501385134982e+00
1.515464458144337279e+00,1.562626785491714188e+00,1.613050995076868332e+00,1.547728820445213094e+00
1.676180867304430944e+00,1.695782990704588711e+00,1.714293454947671824e+00,1.653597837011893557e+00
1.643370032808255887e+00,1.709232598810168424e+00,1.832418574449567572e+00,1.851328527684596326e+00
1.897628896748935645e+00,1.951528292996154601e+00,1.861435127889687235e+00,1.913676448254529205e+00
1.973079161208350474e+00,1.942434372812927634e+00,1.940670620579168837e+00,2.009997474097545478e+00
1.941041008699131432e+00,2.024692028997031823e+00,2.065622515695034078e+00,2.021575765825397664e+00
2.088523701145118761e+00,2.038707212559772497e+00,2.065735441661180616e+00,2.060221811262054281e+00
2.086811259508352556e+00,2.098531479276252387e+00,2.176549560604157385e+00,2.062321283812848627e+00
2.208802869663959889e+00,2.199153789084453692e+00,2.207156455005057527e+00,2.153534947188687099e+00
2.091000510425882641e+00,2.242033868403587871e+00,2.157792973438664053e+00,2.088411098257714649e+00
2.154275273100270560e+00,2.237662734537686937e+00,2.195840266537992580e+00,2.170812934145939010e+00
2.228187873485157233e+00,2.253157386582482324e+00,2.186746324469010627e+00,2.230920820869738641e+00
2.228761869847659671e+00,2.206666263035531816e+00,2.257608836432457800e+00,2.252018329640066430e+00
2.027115973679104677e+00,2.136439334353257724e+00,2.264407409639668689e+00,2.183296588519620052e+00
2.060554033415644692e+00,2.127282325125435580e+00,2.080459663198948039e+00,2.042376003539118745e+00
2.039384870520786208e+00,2.052664027914056000e+00,2.023687099839096781e+00,2.047614792033775277e+00
1.918049941273607839e+00,1.943481984844028787e+00,1.834431525431657217e+00,1.909052546918228010e+00
1.942654669806952672e+00,1.899426294167803952e+00,1.873699273222287909e+00,1.904271347745200460e+00
1.708503412650267617e+00,1.832349616457610297e+00,1.767713098114915393e+00,1.762496687571899701e+00
1.682449769358114855e+00,1.676451738240478440e+00,1.611080982454612176e+00,1.707633177766621602e+00
1.502184611115310320e+00,1.536794632170994879e+00,1.593884598680647136e+00,1.683249665654187988e+00
1.509613811444302955e+00,1.475251232935624657e+00,1.361027973727432672e+00,1.485441879454177050e+00
1.319454118802545040e+00,1.415572767146952238e+00,1.309794032665399843e+00,1.437159177524258036e+00
1.181387471799969502e+00,1.189471897841878567e+00,1.206942838111154881e+00,1.208872115649061607e+00
9.935540722580452622e-01,1.074847838638877118e+00,1.017013322603923964e+00,1.062977433710609709e+00
1.044775612965775924e+00,9.538644591107107162e-01,1.003521372822779201e+00,1.027369555172942039e+00
8.830340425923339787e-01,9.065459833656139832e-01,8.981732004185799534e-01,9.316129407208240121e-01
7.729550198317001186e-01,6.434169151105744167e-01,6.659557852975594994e-01,7.075260982283851918e-01
6.888293162147328674e-01,6.502275218062169015e-01,5.615433233395507040e-01,6.357668515486469829e-01
5.543386706653563589e-01,5.964905375472483451e-01,5.669903159456595176e-01,4.651508653196829157e-01
4.195269213000782371e-01,4.108200932838210750e-01,4.499644016593501994e-01,4.414869579480147355e-01
3.370040727548391790e-01,4.514650045144679158e-01,3.164459771203701477e-01,4.214327455314572646e-01
2.745339753787406911e-01,3.413094247703052364e-01,2.997826377032731249e-01,3.102247324766289061e-01
3.334873743812716285e-01,2.375319614518340838e-01,2.596079232831229322e-01,2.365227494355006677e-01
1.560391225141770644e-01,2.392651735428337478e-01,2.219062358860598161e-01,1.586961874635583469e-01
1.774726503134065325e-01,1.305665198386357639e-01,2.486655583416285120e-01,2.257038508978368163e-01
1.839378040356901833e-01,1.717214481907262114e-01,2.192099124937333943e-01,2.398770331832713043e-01
2.185220771694005859e-01,2.986363167794114926e-01,2.957643162149591332e-01,2.371161600407342696e-01
2.578256519993380458e-01,1.843679801620323466e-01,2.977762071745833072e-01,2.418239675214232109e-01
2.025289068598078723e-01,3.572123439101434483e-01,2.989074459292360153e-01,2.012804898476517335e-01
