v0,v1,v2,v3
1.206286511054669663e+00,1.164793021885991653e+00,1.217134578482284013e+00,1.139518672531217414e+00
1.313931437090757770e+00,1.297882958071887138e+00,1.282493125880001417e+00,1.233886545036100069e+00
1.471336796809721958e+00,1.386023763189389024e+00,1.402261639103321356e+00,1.381607092972641837e+00
1.559849892900187607e+00,1.537298823283876903e+00,1.542734102205808311e+00,1.625644879187038594e+00
1.637939703385713042e+00,1.664429370708923273e+00,1.701682076399346100e+00,1.655930335758592831e+00
1.786144499476630010e+00,1.806454203498390143e+00,1.742498054783801154e+00,1.749461912338746261e+00
1.928322660497302055e+00,1.832598325937510264e+00,1.954457348821800888e+00,1.860014772184128695e+00
1.995864796327563084e+00,1.939222050237521700e+00,1.963009448288027592e+00,1.918680052775285860e+00
1.987797104103306678e+00,1.952159397572954092e+00,2.017855101689490116e+00,1.988470695227302798e+00
2.022184952100907207e+00,2.044085914314902386e+00,2.157919009909782915e+00,2.053395250962938068e+00
2.103852519558547129e+00,2.272806620599212124e+00,2.166330302438432387e+00,2.170414018858785710e+00
2.173008116393414291e+00,2.223003977010792109e+00,2.189406156210430776e+00,2.221964611709635218e+00
2.076457335366112211e+00,2.153637672014188098e+00,2.176151854959577747e+00,2.139954245998915372e+00
2.189060416803372711e+00,2.133130137923585412e+00,2.290699280694637796e+00,2.211961398586919536e+00
2.130413326735400847e+00,2.143929732568071067e+00,2.233299953585053288e+00,2.232119236160508446e+00
2.134328449690879648e+00,2.169857274450365470e+00,2.160771250628816365e+00,2.116854219950746518e+00
2.107803293542549028e+00,2.136752632103374072e+00,2.056156285151279572e+00,2.109887913084554700e+00
2.069641017834752184e+00,2.048237995606667194e+00,2.104103602741306034e+00,2.033552817537670254e+00
2.043565392712363149e+00,1.958655142556774198e+00,1.965796861288576780e+00,1.958432438742794490e+00
2.000636416643235105e+00,2.019629673433523731e+00,1.862713450583185271e+00,1.953603891610601329e+00
1.856695925093593491e+00,1.885706930805549852e+00,1.849165082967406892e+00,1.826316039674288794e+00
1.836387920258640172e+00,1.749336345752759092e+00,1.782138301860686891e+00,1.799621201188383202e+00
1.631463438369438190e+00,1.653690111652964534e+00,1.728847233727927257e+00,1.663252075913003836e+00
1.572180390547186724e+00,1.528128364086252189e+00,1.568727478306798151e+00,1.575236254802785396e+00
1.484489173370147963e+00,1.292513391986701787e+00,1.479616640646095105e+00,1.424701518656563914e+00
